rl,asin,name,overview,price,currency,availability,brand,about_item,img_source,description,specifications,primary_category,category_1,category_2,category_3,breadcrumbs
https://www.amazon.in/dp/1840910925,1840910925,Modern Country Style: Practical Traditional and Contemporary Projects for Your Home (Interiors),[],600.00,INR,Only 1 left in stock.,"by               
Mary Norden 
(Author)",,https://images-na.ssl-images-amazon.com/images/I/51HR9B9W6TL._SS522_.jpg,,[],Books,"Arts, Film & Photography",Design & Fashion,,"Books | Arts, Film & Photography | Design & Fashion"
https://www.amazon.in/dp/B0BBTLQX1W,B0BBTLQX1W,Proper Surf Shack Décor Ideas: Living with Surf Shacks,[],,,,"by               
Savannah Allen 
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/415CXdreuzL._SS522_.jpg,,[],Kindle Store,Kindle eBooks,Sports & Outdoors,,Kindle Store | Kindle eBooks | Sports & Outdoors
https://www.amazon.in/dp/1101884762,1101884762,Battlefront: Twilight Company (Star Wars),[],763.00,INR,Usually dispatched in 2 to 3 weeks.,"by               
        Alexander Freed  (Author)    › Visit Amazon's Alexander Freed Page   Find all the books, read about the author, and more.   See search results for this author        Alexander Freed   
(Author)",,https://images-na.ssl-images-amazon.com/images/I/51PKfJ5COOL._SS522_.jpg,,[],Books,Literature & Fiction,Classic Fiction,,Books | Literature & Fiction | Classic Fiction
https://www.amazon.in/dp/1641810874,1641810874,The Adventures of Jimmy Skunk: A Bedtime Story-Book: 7 (The Best Thornton W. Burgess Books),[],,,,"by               
        Thornton W Burgess  (Author)    › Visit Amazon's Thornton W Burgess Page   Find all the books, read about the author, and more.   See search results for this author        Thornton W Burgess   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51wSfwfbsoL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51SyDM--kIL._SS522_.jpg",,[],Books,Literature & Fiction,Classic Fiction,,Books | Literature & Fiction | Classic Fiction
https://www.amazon.in/dp/0997983787,0997983787,What Follows After,[],"1,290.00",INR,Usually dispatched in 13 to 14 days.,"by               
        Dan Walsh  (Author)    › Visit Amazon's Dan Walsh Page   Find all the books, read about the author, and more.   See search results for this author        Dan Walsh   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41NmXyWvZlL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51J5iZ7-gTL._SS522_.jpg",,[],Books,Literature & Fiction,Religious & Spiritual Fiction,,Books | Literature & Fiction | Religious & Spiritual Fiction
https://www.amazon.in/dp/1908043393,1908043393,Systemic Software Diagnostics: An Introduction to Systems Thinking in Memory Dump and Software Trace Analysis,[],,,,"by             
        Dmitry Vostokov  (Author)    › Visit Amazon's Dmitry Vostokov Page   Find all the books, read about the author, and more.   See search results for this author        Dmitry Vostokov   
(Author),  


Software Diagnostics Services 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41pNk9VsWTL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/4143yUxja3L._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/1645992462,1645992462,Justice at Redwillow,[],"1,200.00",INR,In stock.,"by               
John D Nesbitt 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51fK07FZUiL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/516yecXvj2L._SS522_.jpg",,[],Books,"Crime, Thriller & Mystery",Mystery,,"Books | Crime, Thriller & Mystery | Mystery"
https://www.amazon.in/dp/B08Z4FZGJB,B08Z4FZGJB,Mr. Reality Check: Climate Change - Part One - Extremism (Mr. Reality Check Podcast Book 3),[],,,,"by               
        Joshua Eaton  (Author)    › Visit Amazon's Joshua Eaton Page   Find all the books, read about the author, and more.   See search results for this author        Joshua Eaton   
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/61KCaz+qi1L._SS522_.jpg,,[],Kindle Store,Kindle eBooks,"Crafts, Home & Lifestyle",,"Kindle Store | Kindle eBooks | Crafts, Home & Lifestyle"
https://www.amazon.in/dp/1330642880,1330642880,Beyond the Dragon Temple (Classic Reprint),[],"1,076.00",INR,In stock.,"by               
Robert Hudson 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41pdcV3x2TL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/41tV83Jy3uL._SS522_.jpg",,[],Books,Action & Adventure,,,Books | Action & Adventure
https://www.amazon.in/dp/1787122042,1787122042,Windows Server 2016 Automation with PowerShell Cookbook - Second Edition: Powerful ways to automate and manage Windows administrative tasks,[],"3,994.00",INR,In stock.,"by               
        Thomas Lee  (Author)    › Visit Amazon's Thomas Lee Page   Find all the books, read about the author, and more.   See search results for this author        Thomas Lee   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/518Hv4Q1aAL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51IxhphJT6L._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/1784751855,1784751855,Munich: Soon to be a major NETFLIX movie starring Jeremy Irons,[],329.00,INR,Only 1 left in stock.,"by               
        Robert Harris  (Author)    › Visit Amazon's Robert Harris Page   Find all the books, read about the author, and more.   See search results for this author        Robert Harris   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/419Ks71UMiL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/41Ypn50BGdL._SS522_.jpg",,[],Books,"Crime, Thriller & Mystery",Thrillers and Suspense,,"Books | Crime, Thriller & Mystery | Thrillers and Suspense"
https://www.amazon.in/dp/0984300953,0984300953,Currents: A Novel by Dave Bricker,[],"2,095.00",INR,Usually dispatched in 13 to 14 days.,"by                    
David E Bricker 
(Author, Designer)",,"https://images-na.ssl-images-amazon.com/images/I/41QVJwapdsL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/417JHPQMmfL._SS522_.jpg",,[],Books,Literature & Fiction,Contemporary Fiction,,Books | Literature & Fiction | Contemporary Fiction
https://www.amazon.in/dp/B082543PB6,B082543PB6,MAX DEALS STAINED GLASS PATTERN BOOK - MX GLASS DESIGNS VOL - 1 III EDITION Black&White (Contains CD with Corel Draw images),[],382.00,INR,In stock.,"by               
NA 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41fUr9t2xJL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51gv8e3cquL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/41i78CJ+QuL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/418DbH+gm2L._SS522_.jpg",,[],Books,"Crafts, Hobbies & Home","Handicrafts, Decorative Arts & Crafts",,"Books | Crafts, Hobbies & Home | Handicrafts, Decorative Arts & Crafts"
https://www.amazon.in/dp/B00849T0KU,B00849T0KU,"The Life and Work of Susan B. Anthony (Volume 1 of 2) Including Public Addresses, Her Own Letters and Many From Her Contemporaries During Fifty Years",[],0.00,INR,,"by               
Ida Husted Harper 
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/W/WEBPjpg,,[],Kindle Store,Kindle eBooks,Politics,,Kindle Store | Kindle eBooks | Politics
https://www.amazon.in/dp/0752215825,0752215825,Crap Towns: The Fifty Worst Places to Live in the UK,[],284.00,INR,Only 1 left in stock.,"by             
The Idler 
(Author),  


        Dan Kieran  (Editor)    › Visit Amazon's Dan Kieran Page   Find all the books, read about the author, and more.   See search results for this author        Dan Kieran   
(Editor),  


        Sam Jordison  (Editor)    › Visit Amazon's Sam Jordison Page   Find all the books, read about the author, and more.   See search results for this author        Sam Jordison   
(Editor) 


& 
                 0
                 More",,https://images-na.ssl-images-amazon.com/images/I/51P5jnqlMML._SS522_.jpg,,[],Books,Travel & Tourism,Illustrated Books,,Books | Travel & Tourism | Illustrated Books
https://www.amazon.in/dp/9353367301,9353367301,Sick Heart Rive: (Mountain Meadow),[],550.00,INR,In stock.,"by               
        John Buchan  (Author)    › Visit Amazon's John Buchan Page   Find all the books, read about the author, and more.   See search results for this author        John Buchan   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/31pcG3L6UAL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51MBATUjVnL._SS522_.jpg",,[],Books,Literature & Fiction,Classic Fiction,,Books | Literature & Fiction | Classic Fiction
https://www.amazon.in/dp/B07145XHQ2,B07145XHQ2,3nh 53T silver : P.C.D 144 Bicycle Single Speed Road bicycle Chainring aluminum alloy Bikes Crankset Crank Chainrings guide 44T-53T,[],,,Currently unavailable.    We don't know when or if this item will be back in stock.,Brand: 3nh,,https://m.media-amazon.com/images/I/51XmPL7Px8L._SS522_.jpg,,"[{'Bike Type': '\u200eRoad Bike'}, {'Brand': '\u200e3nh'}, {'Frame Material': '\u200eAluminum Alloy'}, {'Material Type': '\u200eAluminum'}, {'Number of Items': '\u200e1'}, {'Speed Rating': '\u200eSingle Speed'}, {'ASIN': 'B07145XHQ2'}, {'Date First Available': '27 May 2019'}, {'Net Quantity': '1.00 count'}]","Sports, Fitness & Outdoors",Cycling,Cycles,,"Sports, Fitness & Outdoors | Cycling | Cycles"
https://www.amazon.in/dp/178909741X,178909741X,36 Streets,[],773.00,INR,Usually dispatched in 9 to 10 days.,"by               
        T.R. Napper  (Author)    › Visit Amazon's T.R. Napper Page   Find all the books, read about the author, and more.   See search results for this author        T.R. Napper   
(Author)",,https://images-na.ssl-images-amazon.com/images/I/51QsrgRtsYL._SS522_.jpg,,[],Books,Science Fiction & Fantasy,Science Fiction,,Books | Science Fiction & Fantasy | Science Fiction
https://www.amazon.in/dp/B006PXKEZM,B006PXKEZM,Democracy and the voters: A republican form of government,[],,,,"by               
G J Boris Allan 
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/41frgS2oevL.jpg,,[],Kindle Store,Kindle eBooks,Politics,,Kindle Store | Kindle eBooks | Politics
https://www.amazon.in/dp/1393904971,1393904971,Elect to Change,[],600.00,INR,In stock.,"by               
        Lori Svensen  (Author)    › Visit Amazon's Lori Svensen Page   Find all the books, read about the author, and more.   See search results for this author        Lori Svensen   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51T0+3-lPGL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/41SR7kK93BL._SS522_.jpg",,[],Books,Action & Adventure,,,Books | Action & Adventure
https://www.amazon.in/dp/1953468055,1953468055,Lure of the Fox: 6 (Aloha Shifters: Jewels of the Heart),[],687.00,INR,In stock.,"by               
        Anna Lowe  (Author)    › Visit Amazon's Anna Lowe Page   Find all the books, read about the author, and more.   See search results for this author        Anna Lowe   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/516yPLeBkrL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51Tp+Qr+HkL._SS522_.jpg",,[],Books,Romance,Fantasy,,Books | Romance | Fantasy
https://www.amazon.in/dp/3540428631,3540428631,"Principles and Practice of Constraint Programming - CP 2001: 7th International Conference, CP 2001, Paphos, Cyprus, November 26 - December 1, 2001, ... 2239 (Lecture Notes in Computer Science)",[],"15,883.00",INR,In stock.,"by               
        Toby Walsh  (Editor)    › Visit Amazon's Toby Walsh Page   Find all the books, read about the author, and more.   See search results for this author        Toby Walsh   
(Editor)",,"https://images-na.ssl-images-amazon.com/images/I/31hNHc1gLgL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ZmwiHZZML._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/B08XGJGS4G,B08XGJGS4G,Más allá de la Mordida: Una visión integral de la corrupción en México (Spanish Edition),[],,,,"Spanish Edition        
	   by             
Juan Francisco Del Real Sánchez 
(Author),  


MAPorrúa Porrúa 
(Editor) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/512ByxbnPtL.jpg,,[],Kindle Store,Kindle eBooks,Foreign Language eBooks,,Kindle Store | Kindle eBooks | Foreign Language eBooks
https://www.amazon.in/dp/B0BBMV4MWN,B0BBMV4MWN,Ecanvas 10Pc Aluminium Mountain Bike Cable C-Clip Buckles Housing Hose Guides Silver,[],540.00,INR,Usually dispatched in 4 to 5 days.,Brand: Ecanvas,"100% VTS good quality. | Anodization on the surface. | Excellent | C-clip cable guides for MTB, BMX, road bike VTS folding bike etc. | A little hard to install, but not easy to fall off, firm VTS safety.","https://m.media-amazon.com/images/I/21xn6Hxr+1L._SS522_.jpg, https://m.media-amazon.com/images/I/315xQ0psXWL._SS522_.jpg, https://m.media-amazon.com/images/I/31B7CD1Fd3L._SS522_.jpg","Description:100% VTS good quality.Make your bikes' cable in neat.C-clip cable guides for MTB, BMX, road bike VTS folding bike etc.A little hard to install, but not easy to fall off, firm VTS safety.Anodization on the surface.Specification:Material: Aluminum AlloySize: Approx. 10 x 10 x 10mm / 0.39 x 0.39 x 0.39inchPackage Includes:10 Pieces Bike Cable C-Clips BucklesNote:Please allow 1-3mm error due to manual measurement. Due to the light VTS screen difference, the item's color may be slightly different from the pictures. Please kindly understVTS. Make sure you don't mind before you order.","[{'Batteries Included': '\u200eNo'}, {'Brand': '\u200eEcanvas'}, {'Color': '\u200eAs Per Image'}, {'Included Components': '\u200e10 Pieces Bike Cable C-Clips B'}, {'Material Type': '\u200eAluminum Alloy'}, {'Number of Items': '\u200e1'}, {'Number of Pieces': '\u200e10'}, {'Size': '\u200eAs Per Description'}, {'Manufacturer': '\u200eEcanvas'}, {'Country of Origin': '\u200eHong Kong'}, {'ASIN': 'B0BBMV4MWN'}, {'Date First Available': '23 August 2022'}, {'Manufacturer': 'Ecanvas, support@alishipping.in'}, {'Item Dimensions LxWxH': '9 x 8 x 12 Centimeters'}, {'Net Quantity': '1.00 count'}, {'Generic Name': 'Cables & Housing'}]","Sports, Fitness & Outdoors",Cycling,Cycles,Mountain Bikes,"Sports, Fitness & Outdoors | Cycling | Cycles | Mountain Bikes"
https://www.amazon.in/dp/0548574421,0548574421,In Search Of Treasure (1907),[],"1,436.00",INR,In stock.,"by               
        Horatio Alger  (Author)    › Visit Amazon's Horatio Alger Page   Find all the books, read about the author, and more.   See search results for this author        Horatio Alger   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/31BbxGN8nqL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/31O1+1hSV8L._SS522_.jpg",,[],Books,Children's & Young Adult,Literature & Fiction,,Books | Children's & Young Adult | Literature & Fiction
https://www.amazon.in/dp/1785074148,1785074148,Trojan Submarine,[],987.00,INR,In stock.,"by               
        James Evans  (Author)    › Visit Amazon's James Evans Page   Find all the books, read about the author, and more.   See search results for this author        James Evans   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/31isEba9ONL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/415ROLpbDWL._SS522_.jpg",,[],Books,"Crime, Thriller & Mystery",Thrillers and Suspense,,"Books | Crime, Thriller & Mystery | Thrillers and Suspense"
https://www.amazon.in/dp/1087000262,1087000262,"Easily Distracted by Rubber Ducks: Notebook & Journal Or Diary Programmer Joke Gift, Date Line Paper (120 Pages, 6x9"")",[],,,,"by               
Lovely Writings 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41-nV-t4b1L._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/21llCXQOSeL._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/B07YK5H5JC,B07YK5H5JC,Vaux Princess 20T Kids Bicycle for Girls,"[{'Bike Type': ' Kids Bike '}, {'\tAge Range\t': ' Kids '}, {'Brand': ' Vaux '}, {'\tNumber of Speeds\t': ' 1 '}, {'Colour': ' Pink '}]","5,499.00",INR,,Brand: Vaux,"Quality: Vaux Princess 20T is made up of HI-TEN Steel Frame, Rigid Fork, Fancy steel rims | SPECIAL FEATURES: Vaux Princess 20T bike has Single Speed, Powerful V-Brakes, Comfrotable PU Saddle and cushioned backseat with backrest | COMFORT: The strong and cushion seat gives you the perfect comfort and the handlebar gives you the perfect grip which keeps you safe and the cycle under your control. | SAFETY: The Powerful V-Brakes gives you the perfect stopping at any unexpected situation. Vaux always recommends our valuable customers to WEAR HELMET WHILE RIDING. | EASY ASSEMBLY: Bicycle is semi assembled (85%), and it just takes 20 minutes to complete 100% assembly. Assembly tools included.","https://m.media-amazon.com/images/I/513c66RukbL._SS522_.jpg, https://m.media-amazon.com/images/I/51qbZeqX+eL._SS522_.jpg, https://m.media-amazon.com/images/I/51jEDLpkEvL._SS522_.jpg, https://m.media-amazon.com/images/I/51rYmbQafuL._SS522_.jpg, https://m.media-amazon.com/images/I/51pncBW2hyL._SS522_.jpg",,,"Sports, Fitness & Outdoors",Cycling,Kids' Cycles & Accessories,Kids' Cycles,"Sports, Fitness & Outdoors | Cycling | Kids' Cycles & Accessories | Kids' Cycles"
https://www.amazon.in/dp/1452017301,1452017301,Sharing Orion: An Epic Story,[],"1,205.00",INR,In stock.,"by               
David Goldstein 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/51YJUIT7WtL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51lY5qDZZAL._SS522_.jpg",,[],Books,Literature & Fiction,Contemporary Fiction,,Books | Literature & Fiction | Contemporary Fiction
https://www.amazon.in/dp/B08X2PVC1W,B08X2PVC1W,Natural Car Wash : Washing Cars and Bikes with Products from your Kitchen Cupboards,[],,,,"by               
        Peter Yexley  (Author)    › Visit Amazon's Peter Yexley Page   Find all the books, read about the author, and more.   See search results for this author        Peter Yexley   
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/I/510mO1xu8LL._SS522_.jpg,,[],Kindle Store,Kindle eBooks,"Crafts, Home & Lifestyle",,"Kindle Store | Kindle eBooks | Crafts, Home & Lifestyle"
https://www.amazon.in/dp/1432753401,1432753401,HP Quicktest Professional Workshop Series: Level 1: HP Quicktest,[],"2,925.00",INR,In stock.,"by               
Ananth Rao 
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/31JaLAqvYdL._SS522_.jpg, https://images-na.ssl-images-amazon.com/images/I/51T-pQi8KnL._SS522_.jpg",,[],Books,Computers & Internet,Programming & Software Development,,Books | Computers & Internet | Programming & Software Development
https://www.amazon.in/dp/163561791X,163561791X,Defending the Devil: My Story as Ted Bundy's Last Lawyer,[],"1,954.00",INR,In stock.,"by               
        Polly Nelson  (Author)    › Visit Amazon's Polly Nelson Page   Find all the books, read about the author, and more.   See search results for this author        Polly Nelson   
(Author)",,"https://images-na.ssl-images-amazon.com/images/I/41Wqn+cNoJL.jpg, https://images-na.ssl-images-amazon.com/images/I/51mr6fZqcPL.jpg",,[],Books,Higher Education Textbooks,Law,,Books | Higher Education Textbooks | Law
https://www.amazon.in/dp/B0888T6FMD,B0888T6FMD,"Itihas: Bharat ka Itihas aur Bharatiya Rashtriya Andolan (Brilliant Basics, Hindi) (Hindi Edition)",[],331.80,INR,,"Hindi Edition        
	   by               
Kumar Nalin 
(Author) 
  Format: Kindle Edition",,https://m.media-amazon.com/images/W/WEBPjpg,,[],Kindle Store,Kindle eBooks,"Arts, Film & Photography",,"Kindle Store | Kindle eBooks | Arts, Film & Photography"
https://www.amazon.in/dp/B0B3L6G8PC,B0B3L6G8PC,"Electric Bike Conversion Kit, 9Pcs/Set 2750RPM 250W 24V Brushed DC Motor Controller Electric Bicycle Part & Accessories with Throttle Grip, Electric Door Lock, Freewheel, 65T Crankset for E Bike","[{'Bike Type': ' Electric Bike '}, {'Brand': ' AENL '}, {'\tNumber of Speeds\t': ' 1 '}, {'Included Components': ' Lock '}]","9,999.00",INR,,Brand: AENL,"【QUALITY MATERIAL】The electric motor speed controller kit is made of high quality materials and has excellent craftsmanship. Meanwhile, it is sturdy and durable with long service life. And, fine workmanship, provide good usage experience. | 【COMFORTABLE RIDING】The bike conversion set is professional manufacturing, stable performance and high reliability. This brushless controller is a perfect accessory for electric bike, scooter,etc. Bringing you a more comfortable riding experience. | 【SENSITIVE CONTROL】The brushed motor controller is durable and easy to operate. Meanwhile, this controller set allows steady and sensitive speed control of braking and direction changes. wonderful accessory for bicycle conversion. | 【WHAT YOU WILL RECEIVE？】The package list includes:1 x motor; 1 x controller; 1 x chain; 1 x 65t crankset; 1 x freewheel; 1 x connector; 1 pair x throttle grip; 1 x electric door lock; 2 x key; 1 bag x plug in. | 【100% WARRANTY】We promises every customer a 100% shopping satisfaction, feel free to reach us if you have any questions about your purchase. We will give you a professional and detailed reply within 24 hours. Click to buy now!","https://m.media-amazon.com/images/I/51b1fc9MTpL._SS522_.jpg, https://m.media-amazon.com/images/I/51vw+JKBWAL._SS522_.jpg, https://m.media-amazon.com/images/I/51muXjX69gL._SS522_.jpg, https://m.media-amazon.com/images/I/51SgwnfF8CL._SS522_.jpg, https://m.media-amazon.com/images/I/41Pl3rXjcYL._SS522_.jpg, https://m.media-amazon.com/images/I/41b1K1UQr7L._SS522_.jpg, https://m.media-amazon.com/images/I/4121BllDp5L._SS522_.jpg","Specification: Condition: 100% brand new Item type: Bike Conversion High Speed Kit Material: metal Color: As picture shown Weight: Approx. 3032g  Rated voltage: 24V DC Output power: 250W Rated speed: 2750 rpm Rated current: 14A  Package List: 1 x Motor 1 x Controller 1 x Chain 1 x 65T crankset 1 x Freewheel 1 x Connector 1 Pair x Throttle Grip 1 x Electric door lock 2 x Key 1 Bag x Plug-in  Note: Please note that the new type and old type of this product will be sent randomly, and make sure you will not mind before ordering.","[{'Bike Type': '\u200eElectric Bike'}, {'Brand': '\u200eAENL'}, {'Included Components': '\u200eLock'}, {'Number of Items': '\u200e1'}, {'Number of Speeds': '\u200e1'}, {'Manufacturer': '\u200eAENL'}, {'ASIN': 'B0B3L6G8PC'}, {'Date First Available': '8 June 2022'}, {'Manufacturer': 'AENL'}, {'Item Weight': '3 kg 40 g'}, {'Generic Name': 'Bicycle'}]","Sports, Fitness & Outdoors",Cycling,Cycles,Electric Bicycles,"Sports, Fitness & Outdoors | Cycling | Cycles | Electric Bicycles"
